OTU_ID,Atom02_1,Atom02_2,Atom02_3,Atom02_4,Atom5_1,Atom5_2,Atom5_3,Atom5_4,Atom10_1,Atom10_2,Atom10_3,Atom10_4,Atom20_1,Atom20_2,Atom20_3,Atom20_4,Atom30_1,Atom30_2,Atom30_3,Atom30_4,Atom40_1,Atom40_2,Atom40_3,Atom40_4,Atom50_1,Atom50_2,Atom50_3,Atom50_4,Atom60_1,Atom60_2,Atom60_3,Atom60_4,Atom70_1,Atom70_2,Atom70_3,Atom70_4,Atom80_1,Atom80_2,Atom80_3,Atom80_4
OTU_5557,2,2,0,3,1,6,3,1,7,7,1,2,6,3,7,6,3,4,8,1,4,6,8,6,4,4,4,5,8,13,2,1,5,9,8,1,4,10,3,1
OTU_3925,0,0,3,2,4,3,5,0,3,1,3,2,5,3,3,6,3,7,0,0,5,7,6,3,1,1,8,8,1,1,0,0,3,10,7,1,3,9,3,3
OTU_135,10,18,40,60,19,27,43,12,31,34,17,5,19,18,39,47,23,25,24,9,18,22,10,5,20,10,33,33,25,41,31,13,30,22,7,54,16,7,12,26
OTU_537,11,11,14,2,1,0,2,2,2,5,8,1,8,12,16,1,1,0,2,6,3,4,7,0,5,18,18,15,2,1,5,6,5,3,12,9,10,3,11,1
OTU_2576,6,6,2,2,0,1,0,0,2,0,2,2,0,3,2,1,0,1,0,0,1,0,0,0,2,3,2,2,5,3,2,0,5,3,2,1,1,0,2,3
OTU_89,11,14,12,10,17,14,27,31,13,10,16,26,12,25,19,16,16,20,19,24,8,16,7,16,30,19,11,11,13,14,24,36,11,16,15,27,23,26,20,14
OTU_264,15,18,9,12,7,9,3,0,11,5,12,3,5,6,18,11,15,10,11,3,16,5,16,9,13,16,21,19,15,12,12,2,7,10,12,10,3,15,4,16
OTU_1849,0,0,0,1,2,4,5,1,6,2,2,1,2,0,2,3,2,0,1,0,2,1,2,0,1,0,2,2,3,0,0,0,2,0,1,1,0,1,2,1
OTU_4758,3,3,5,1,0,1,0,0,2,0,2,2,3,1,1,0,0,1,3,0,1,4,1,4,3,2,0,0,0,1,2,1,1,2,2,1,0,2,3,1
OTU_2904,5,4,2,1,0,0,0,1,0,1,1,2,2,3,3,1,5,0,0,0,1,1,1,1,3,2,1,1,2,0,2,1,3,1,2,2,2,0,0,0
OTU_573,6,6,2,0,0,1,0,0,0,1,1,0,0,6,2,0,0,0,0,1,2,2,3,1,1,3,0,0,0,0,2,0,1,4,1,2,0,2,0,0
OTU_4810,5,3,3,0,0,0,0,0,4,3,2,1,0,3,2,2,2,2,0,0,0,1,3,2,0,1,2,2,0,2,1,2,0,1,4,2,1,1,1,1
OTU_112,4,4,14,24,19,24,29,22,27,13,23,12,22,13,13,16,11,12,16,20,20,18,23,16,16,9,14,12,9,8,9,16,13,22,23,17,17,14,15,11
OTU_4603,3,4,1,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,1,1,0,0,0,0,0,0,1,2,1,1,1,1,2,1,1,0,0,0
OTU_1524,3,5,1,2,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,2,1,2,1,1,0,0,1,1,1,1,1,0,0,2,1,1
OTU_4573,2,1,3,5,1,0,0,0,1,2,0,0,1,0,2,1,1,2,0,0,1,0,1,0,2,1,1,1,0,1,1,0,0,2,1,1,1,0,1,2
